,Sentence,Sentiment,Translated_Sentence
3578,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive,"EPS untuk kuartal ini berada di 0,36 eur, naik dari 0,33 eur tahun lalu dan di depan perkiraan 0,33 eur."
3579,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",neutral,"Sesuai dengan syarat dan ketentuan program opsi 2006 Alma Media, harga langganan saham untuk hak opsi 2006A adalah EUR 4,88 per saham dan nilai buku countervalue EUR 0,60 per saham."
3580,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive,Perusahaan akan melakukan investasi pemasaran dan penjualan yang dimulai pada tahun 2009 bahkan lebih efisien pada tahun 2010 .
3581,"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",positive,"EBIT mencapai EUR 14,4 juta , dibandingkan dengan kerugian EUR 0,3 juta pada periode yang sama tahun 2009 ."
3582,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,"Laba bersih Orion untuk kuartal ketiga tahun 2007 turun menjadi 36,5 juta euro ($52,1 juta) dari 40,3 juta euro ($57,5 juta) setahun sebelumnya."
3583,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",neutral,"OMX Helsinki 25 berakhir 0,47 persen lebih rendah pada 3.150,55 dan OMX Helsinki turun 0,21 persen pada 10.736,42 pada omset 1,523 miliar euro."
3584,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",positive,"Layanan Konektivitas Basware memungkinkan perusahaan menangani proses pembelian untuk membayar secara online dan membuat proses internal mereka lebih efisien,'' kata CEO Ilkka Sihvo, Basware Corporation."
3585,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,Pada saat yang sama laba perusahaan meningkat sebesar 10% di H1 dan mencapai Ls 79.000.
3586,"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,Pabrik tersebut akan memiliki kapasitas untuk memproduksi 500.000 ton pulp per tahun.
3587,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive,"Laba operasional mencapai EUR 7,0 juta , naik dari kerugian EUR 4,0 juta pada kuartal kedua 2009 ."
3588,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",negative,"@Stockoptionexpert: $MAT - 6%, pedagang besar menambahkan 10.000 kontrak April menempatkan 3 hari yang lalu http://stks.co/c1Ols"
3589,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",positive,"SysOpen Digia Plc , Siaran pers , 7 Februari 2006 IBM Finland memberikan penghargaan kepada perusahaan mitra paling terkemuka untuk tahun 2005 ."
3590,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,"Laba per saham terdilusi (EPS) naik menjadi EUR 0,29 dari EUR 0,05."
3591,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative,@gakrum bagan yang bagus menunjukkan saluran bawah yang khas bukan penurunan.. di mana Anda melihat bagian bawahnya? $SPY ..$150? ..$130?
3592,The share subscription period will expire on 30 September 2007 .,neutral,Masa berlangganan saham akan berakhir pada tanggal 30 September 2007 .
3593,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive,$ENB.CA {Head&Shoulders} penyiapan dan penembusan pembalikan naik. Stok Pipa Minyak dan Gas. $USO
3594,Severn Trent share price rises as first half profit inches up as customer ...,positive,Harga saham Severn Trent naik karena laba semester pertama naik seiring pelanggan ...
3595,Name of Company in which holdings have been acquired : Citycon Oyj 2 .,neutral,Nama Perusahaan dimana kepemilikan telah diakuisisi : Citycon Oyj 2 .
3596,"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral,"Aldata Solution Oyj Thomas Hoyer CFO Informasi lebih lanjut: Aldata Solution Oyj, Thomas Hoyer, CFO, telp. +358 45 670 0491 Singkat Aldata Aldata Solution adalah salah satu pemimpin global dalam perangkat lunak rantai pasokan untuk perusahaan ritel, grosir, dan logistik."
3597,easyJet leads Britain's FTSE lower as global bond rout resumes,negative,easyJet memimpin FTSE Inggris lebih rendah karena penurunan obligasi global
3598,Production is scheduled to start by the end of April 2007 .,neutral,Produksi dijadwalkan akan dimulai pada akhir April 2007 .
3599,"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",neutral,"Di Asia sebelumnya, indeks Nikkei Jepang turun 0,62 persen dan Indeks Hang Seng Hong Kong naik 0,56 persen."
3600,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,"Fiskars, bisnis global berusia 360 tahun yang terkenal dengan gunting bergagang oranye, mengharapkan untuk memperoleh sinergi EUR5 juta per tahun dengan mengkonsolidasikan bagian-bagian tertentu dari divisi peralatan rumah tangga di mana keduanya bersaing."
3601,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",neutral,"`` Setiap mitra akan diizinkan untuk membeli sejumlah listrik yang sesuai dengan bagian mereka dalam konsorsium, dengan biaya produksi, '' kata letter of intent."
3602,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral,"Dewan membentuk Komite Remunerasi dengan anggota sebagai berikut: - Ketua Sari Baldauf - Tapio Hintikka - Heikki Westerlund Selain itu, Dewan memutuskan untuk menunjuk Komite Nominasi pada tahap selanjutnya."
3603,"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer .",neutral,"Metode ini menggunakan produk Ultra yang mengandung air, memberikan perlindungan pada permukaan kayu dalam proses pengecatan industri di mana dua lapisan lapisan atas diterapkan pada panel dan papan kayu eksterior tanpa primer terpisah."
3604,Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive,Berkshire berusaha untuk meningkatkan saham Wells Fargo di atas 10 persen
3605,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,"Perjanjian tersebut akan memberikan The Switch dengan dua kali lipat kapasitas konverter, sementara membuka lokasi manufaktur lebih lanjut di Cina."
3606,"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts .",neutral,"Karena bir Pirkka , tempat pembuatan bir Olvi di Iisalmi dipindahkan ke shift kerja 7 hari , 24 jam ."
3607,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",neutral,"Metsaliitto akan menjual 1,1 juta B saham Neomarkka, yang mencakup sekitar 18,3% ekuitas Neomarkka dan sekitar 12,7 persen hak suara."
3608,"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,"Balok jembatan besar akan dikirim ke lokasi dari pabrik kami di Ylivieska, Finlandia."
3609,"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .",neutral,"Von Koskull akan mengawasi unit baru Nordea, yang menyatukan perbankan pedagang korporat, lembaga keuangan, dan divisi produk pasar modal."
3610,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,"Berkat efek ganda dari kinerja gerobak, transportasi akan jauh lebih efisien,'' kata manajer pengembangan Juha Malkia dari VR Cargo."
3611,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,"Menurut pemberitahuannya , Skandinaviska Enskilda Banken AB publ Cabang Helsinki pada tanggal 10 Agustus 2009 telah melakukan divestasi sejumlah 11.958.000 saham Alma Media kepada Ilkka-Yhtyma Oyj dan Kaleva Kustannus Oy , karena ketentuan perjanjian yang dibuat oleh perusahaan pada tanggal 1 Juli 2009 terpenuhi ."
3612,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral,Jalur 4 akan beroperasi sepenuhnya di bawah tanah dan akan terdiri dari 10 stasiun yang akan dilaksanakan dalam dua tahap implementasi.
3613,"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive,"Pemasok BSS-OSS dan VAS Finlandia untuk operator telekomunikasi, Tecnotree, telah menerima pesanan ekspansi senilai total US$ 7,3 juta untuk solusi pengisian daya konvergen dan solusi pesan generasi berikutnya di Amerika Latin, perusahaan mengumumkan tanpa menyebutkan operator mana yang telah memesan. ."
3614,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive,"pada Q1 2010 18 Mei 2010 - Pembuat komponen listrik Finlandia Salcomp Oy ( HEL : SAL1V ) mengatakan hari ini pihaknya memperoleh laba bersih EUR1,6 juta pada kuartal pertama 2010 versus kerugian EUR2 juta pada periode yang sama tahun lalu ."
3615,"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .",neutral,"Varian kedua menawarkan penyelesaian akhir yang lengkap dari setiap apartemen yang dipilih dengan bahan berkualitas tinggi asing (Finlandia, Denmark, Jerman, Prancis)."
3616,Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral,Laba bersih pada periode yang sama tahun 2006 adalah (x20ac) 172 juta.
3617,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,positive,Menembus waktu tertinggi 52 minggu tampak hebat sekarang $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU
3618,The repurchases shall decrease the distributable capital and reserves .,neutral,Pembelian kembali akan mengurangi modal dan cadangan yang dapat didistribusikan.
3619,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative,$STX bergerak turun tetapi masih dalam pasar beruang #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN
3620,The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,neutral,Organisasi yang tergabung dalam serikat pekerja sektor otomotif Rusia MPRA ini aktif sejak Tikkurila mengakuisisi perusahaan cat Rusia Kraski Teks pada 2006 .
3621,The new shares entitle their holders to dividends for fiscal 2006 .,neutral,Saham baru memberikan hak kepada pemegangnya atas dividen untuk tahun fiskal 2006 .
3622,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive,"EBITDA untuk tahun 2009 meningkat menjadi EUR484m , dibandingkan dengan EUR472m pada tahun 2008 ."
3623,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,"Finnish Talentum melaporkan laba operasinya meningkat menjadi EUR 20,5 juta pada tahun 2005 dari EUR 9,3 juta pada tahun 2004, dan penjualan bersih mencapai EUR 103,3 juta, naik dari EUR 96,4 juta."
3624,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,"Baik laba operasi dan omset untuk periode tiga bulan meningkat , masing-masing dari EUR0,9 juta dan EUR8,3 juta, dibandingkan dengan periode yang sama pada tahun 2005."
3625,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,neutral,"Jembatan ini akan sepanjang 1,2 km dan terletak di antara Anasmotet di jalan E20 dan persimpangan lalu lintas baru di Marieholm di jalan E45 ."
